,car,price,body,mileage,engV,engType,registration,year,model,drive
2686,Chevrolet,8300.0,sedan,97,2.0,Petrol,yes,2010,Epica,front
2687,Ford,2000.0,van,320,2.5,Diesel,no,1996,Transit ãðóç.,rear
2688,Audi,37000.0,other,170,3.0,Diesel,yes,2010,Q7,full
2689,Volkswagen,11600.0,sedan,169,1.4,Gas,no,2013,Passat B7,front
2690,Lexus,17600.0,crossover,157,,Petrol,yes,2006,RX 350,full
2691,Chevrolet,5400.0,hatch,142,1.5,Gas,yes,2008,Aveo,front
2692,Mercedes-Benz,12300.0,sedan,300,2.2,Diesel,yes,2003,E-Class,rear
2693,Citroen,5500.0,hatch,108,1.4,Petrol,yes,2005,C3,front
2694,Volkswagen,0.0,other,67,1.8,Other,yes,2008,Passat B6,
2695,Opel,4250.0,hatch,228,2.0,Petrol,yes,1996,Vectra B,front
2696,Lexus,27000.0,crossover,150,4.7,Gas,yes,2007,GX,full
2697,Hyundai,9900.0,crossover,168,2.0,Gas,yes,2007,Tucson,full
2698,BMW,4599.0,sedan,267,2.0,Gas,yes,1991,520,rear
2699,Toyota,4000.0,sedan,243,2.0,Gas,yes,1987,Mark II,rear
2700,Mercedes-Benz,14200.0,van,180,2.2,Diesel,yes,2007,Vito ïàññ.,
2701,Skoda,8100.0,sedan,196,1.8,Petrol,yes,2005,Superb,front
2702,Mitsubishi,3149.25,hatch,330,2.0,Gas,yes,1993,Galant,front
2703,Daewoo,4500.0,sedan,35,1.3,Gas,yes,2013,Sens,front
2704,Skoda,5200.0,hatch,183,1.2,Gas,yes,2006,Fabia,front
2705,Volkswagen,6900.0,sedan,256,1.8,Petrol,yes,2002,Passat B5,front
2706,Toyota,44700.0,crossover,120,3.5,Petrol,yes,2013,Venza,full
2707,Mercedes-Benz,4000.0,sedan,370,3.2,Diesel,no,2002,E-Class,rear
2708,Volkswagen,10200.0,van,137,1.9,Diesel,yes,2008,Caddy ïàññ.,front
2709,Opel,3900.0,sedan,389,2.0,Gas,yes,1995,Vectra A,front
2710,Nissan,5000.0,other,125,1.2,Petrol,yes,2006,Micra,front
2711,Renault,7500.0,other,440,2.0,Diesel,yes,2008,Trafic ãðóç.,front
2712,Skoda,6000.0,hatch,100,1.2,Petrol,yes,2008,Fabia,
2713,BMW,8200.0,sedan,368,3.0,Diesel,yes,2000,730,rear
2714,Toyota,18200.0,crossover,146,2.7,Gas,yes,2006,Land Cruiser Prado,full
2715,Audi,23000.0,crossover,240,4.2,Petrol,yes,2007,Q7,full
2716,Nissan,8500.0,hatch,81,1.6,Petrol,yes,2008,TIIDA,front
2717,Volkswagen,9500.0,hatch,29,1.4,Petrol,yes,2014,Polo,front
2718,Seat,7350.0,hatch,205,,Gas,yes,2005,Leon,front
2719,Kia,10700.0,sedan,38,1.4,Petrol,yes,2013,Rio,front
2720,Chevrolet,4500.0,hatch,185,1.5,Gas,yes,2004,Aveo,front
2721,Volkswagen,41000.0,crossover,180,3.0,Diesel,yes,2013,Touareg,full
2722,Mitsubishi,12900.0,crossover,148,3.0,Gas,yes,2008,Pajero Sport,full
2723,Volkswagen,12114.34965,sedan,0,1.6,Petrol,yes,2016,Polo,front
2724,Peugeot,9600.0,van,150,1.6,Diesel,yes,2010,Partner ïàññ.,front
2725,Volkswagen,20350.0,vagon,111,2.0,Diesel,yes,2012,Passat B7,front
2726,Land Rover,3500.0,crossover,200,2.5,Petrol,no,2003,Freelander,full
2727,Skoda,8300.0,sedan,165,2.0,Petrol,yes,2006,Octavia A5,front
2728,GAZ,3800.0,sedan,144,2.3,Petrol,yes,2008,31105,rear
2729,BMW,32500.0,other,86,3.0,Petrol,yes,2010,5 Series GT,rear
2730,Chrysler,12500.0,sedan,27,2.4,Petrol,yes,2006,PT Cruiser,
2731,Citroen,6500.0,van,237,2.2,Diesel,yes,2007,Jumper ãðóç.,front
2732,Tesla,82300.0,sedan,17,,Other,yes,2014,Model S,rear
2733,Mazda,1300.0,sedan,274,1.5,Petrol,no,1995,323,front
2734,Honda,15200.0,sedan,159,2.4,Gas,yes,2008,Accord,
2735,Skoda,7900.0,hatch,132,1.4,Gas,yes,2008,Fabia,
2736,Honda,20999.0,sedan,74,2.4,Petrol,yes,2011,Accord,front
2737,Volkswagen,8300.0,other,151,2.0,Petrol,yes,2005,T5 (Transporter) ïàññ.,front
2738,Opel,3230.0,sedan,280,1.6,Other,yes,1994,Astra F,
2739,Citroen,13600.0,hatch,128,1.6,Diesel,yes,2012,C4,
2740,Mercedes-Benz,16900.0,van,180,3.0,Diesel,yes,2008,Vito ïàññ.,rear
2741,VAZ,3500.0,hatch,97,1.6,Petrol,yes,2008,1119,front
2742,Toyota,0.0,crossover,43,2.2,Diesel,yes,2013,Rav 4,full
2743,Nissan,25982.7945,crossover,0,1.6,Diesel,yes,2016,Qashqai,front
2744,BMW,8900.0,sedan,250,2.5,Diesel,yes,2001,525,rear
2745,Mercedes-Benz,11500.0,van,209,2.2,Diesel,yes,2008,Vito ïàññ.,rear
2746,VAZ,4000.0,hatch,92,1.6,Gas,yes,2006,2112,front
2747,Lexus,14000.0,crossover,182,3.0,Petrol,yes,2003,RX 300,full
2748,Hyundai,18200.0,sedan,35,2.4,Petrol,yes,2011,Sonata,
2749,Renault,5950.0,van,135,1.5,Diesel,yes,2012,Kangoo ãðóç.,front
2750,Audi,2600.0,vagon,110,2.5,Diesel,no,2002,A6,front
2751,Opel,10800.0,van,108,2.0,Diesel,yes,2012,Vivaro ãðóç.,front
2752,Mercedes-Benz,0.0,other,24,4.7,Petrol,yes,2014,S 500,full
2753,BMW,27800.0,sedan,170,2.0,Diesel,yes,2011,520,rear
2754,Mercedes-Benz,8000.0,van,293,,Diesel,yes,1999,Vito ïàññ.,front
2755,Volkswagen,21000.0,crossover,173,3.0,Diesel,yes,2008,Touareg,full
2756,Opel,10300.0,other,202,2.0,Diesel,yes,2008,Vivaro ïàññ.,front
2757,BMW,10999.0,sedan,150,2.0,Gas,yes,2003,320,rear
2758,Lexus,14900.0,crossover,180,3.0,Gas,yes,2004,RX 300,full
2759,Ford,6900.0,hatch,139,1.4,Petrol,yes,2011,Fusion,front
2760,Toyota,0.0,hatch,28,1.6,Petrol,yes,2014,Auris,front
2761,Mitsubishi,8500.0,other,135,1.5,Gas,yes,2008,Lancer X,
2762,BMW,24700.0,vagon,142,2.0,Diesel,yes,2012,520,rear
2763,Volkswagen,9200.0,hatch,127,1.6,Petrol,yes,2007,Golf V,front
2764,Mercedes-Benz,8100.0,van,330,2.2,Diesel,yes,2001,Vito ïàññ.,front
2765,Toyota,42500.0,crossover,50,3.0,Diesel,yes,2012,Land Cruiser Prado,full
2766,Nissan,18421.26,sedan,0,1.6,Petrol,yes,2015,Sentra,front
2767,BMW,31000.0,sedan,100,2.0,Petrol,yes,2012,520,rear
2768,Renault,5750.0,crossover,225,2.0,Gas,yes,2003,Scenic,full
2769,Mercedes-Benz,20000.0,crossover,251,5.0,Gas,yes,2002,ML 500,full
2770,Mercedes-Benz,33800.0,crossover,120,3.0,Diesel,yes,2010,ML 350,full
2771,Peugeot,21900.0,other,17,1.6,Petrol,yes,2011,RCZ,front
2772,VAZ,3750.0,sedan,100,1.5,Petrol,yes,2008,2115,front
2773,Skoda,16000.0,crossover,40,1.8,Petrol,yes,2013,Yeti,full
2774,Chevrolet,35000.0,other,15,3.6,Petrol,yes,2012,Camaro,
2775,Skoda,9600.0,sedan,58,1.8,Petrol,yes,2008,Superb,front
2776,Audi,19990.0,sedan,127,2.8,Petrol,yes,2010,A6,full
2777,Mercedes-Benz,13899.0,hatch,232,3.0,Diesel,yes,2007,Vito ïàññ.,rear
2778,Fiat,6000.0,hatch,145,1.6,Petrol,yes,2006,Grande Punto,front
2779,Subaru,16799.0,vagon,90,2.5,Other,yes,2011,Outback,full
2780,BMW,21600.0,crossover,200,4.8,Other,yes,2007,X5,full
2781,Nissan,6999.0,sedan,230,3.0,Petrol,yes,2004,Maxima,front
2782,Mitsubishi,7000.0,sedan,133,1.6,Petrol,yes,2008,Lancer,front
2783,Mercedes-Benz,11700.0,sedan,246,5.0,Petrol,yes,2004,S 500,full
2784,Mercedes-Benz,63000.0,crossover,160,3.0,Diesel,yes,2013,GL 350,full
2785,Volkswagen,28000.0,van,163,2.0,Diesel,yes,2010,Multivan,full
2786,Renault,7450.0,other,208,1.9,Other,yes,2004,Trafic ïàññ.,front
2787,VAZ,1700.0,sedan,82,1.5,Petrol,yes,2004,2107,rear
2788,Lexus,6000.0,sedan,350,3.0,Petrol,yes,1996,GS 300,rear
2789,Ford,1550.0,hatch,285,2.0,Gas,yes,1988,Scorpio,rear
2790,Mercedes-Benz,195000.0,crossover,2,5.5,Petrol,yes,2016,GLS 63,full
2791,Volkswagen,38764.0,sedan,0,2.0,Diesel,yes,2014,Passat CC,front
2792,Mercedes-Benz,12500.0,van,386,2.2,Diesel,yes,2008,Sprinter 313 ïàññ.,rear
2793,Toyota,17800.0,crossover,220,3.0,Diesel,yes,2004,Land Cruiser Prado,full
2794,Mitsubishi,8400.0,sedan,250,2.0,Petrol,yes,2007,Lancer X,front
2795,Toyota,38233.0,other,0,2.4,Diesel,yes,2016,Hilux,full
2796,Toyota,0.0,crossover,33,2.7,Gas,yes,2012,Venza,full
2797,Opel,4500.0,sedan,369,2.0,Gas,yes,1995,Omega,rear
2798,Audi,16400.0,vagon,152,2.0,Diesel,yes,2011,A4,front
2799,Land Rover,21000.0,crossover,136,2.2,Diesel,yes,2010,Freelander,full
2800,Nissan,8800.0,hatch,73,1.4,Petrol,yes,2013,Note,front
2801,Volkswagen,7800.0,hatch,230,1.6,Petrol,yes,2004,Golf V,front
2802,Volkswagen,35900.0,van,132,2.0,Diesel,yes,2011,Multivan,full
2803,Volkswagen,11200.0,van,200,2.5,Diesel,yes,2003,T4 (Transporter) ïàññ.,full
2804,BMW,14200.0,sedan,263,3.0,Petrol,yes,2004,530,rear
2805,Jeep,12500.0,crossover,125,2.5,Petrol,yes,1994,Wrangler,full
2806,Volkswagen,16900.0,crossover,145,1.4,Petrol,yes,2011,Tiguan,full
2807,VAZ,1800.0,vagon,3,1.5,Petrol,yes,1987,2104,rear
2808,BMW,30500.0,hatch,110,4.4,Petrol,yes,2008,X6,full
2809,Renault,10700.0,van,265,2.0,Diesel,yes,2007,Trafic ïàññ.,front
2810,Renault,8750.0,vagon,46,1.6,Petrol,yes,2012,Logan,front
2811,Hyundai,11500.0,sedan,75,1.6,Petrol,yes,2011,Accent,front
2812,Mercedes-Benz,55000.0,sedan,34,2.2,Diesel,yes,2011,S 250,rear
2813,Smart,5600.0,other,158,0.7,Petrol,yes,2006,Fortwo,rear
2814,ZAZ,5000.0,hatch,32,1.5,Gas,yes,2012,Forza,front
2815,Volkswagen,12000.0,vagon,187,2.0,Diesel,yes,2008,Passat B6,front
2816,Mercedes-Benz,15500.0,sedan,270,3.2,Diesel,no,2007,S 320,rear
2817,Chevrolet,8200.0,sedan,140,2.0,Petrol,yes,2007,Epica,front
2818,Chevrolet,6000.0,sedan,128,1.5,Petrol,yes,2008,Aveo,front
2819,Hyundai,28400.0,crossover,1,2.0,Petrol,yes,2016,Tucson,full
2820,BMW,18400.0,crossover,256,3.0,Diesel,yes,2006,X5,full
2821,Daewoo,3800.0,sedan,170,1.5,Gas,yes,2007,Lanos,front
2822,Hyundai,17500.0,sedan,60,1.8,Petrol,yes,2013,Elantra,front
2823,Chevrolet,6950.0,sedan,88,1.5,Gas,yes,2011,Aveo,front
2824,Volkswagen,12999.0,vagon,95,1.6,Diesel,yes,2010,Passat B6,front
2825,Opel,12750.0,sedan,119,1.8,Gas,yes,2010,Insignia,front
2826,Ford,3800.0,hatch,460,2.9,Gas,yes,1993,Scorpio,rear
2827,Kia,7500.0,sedan,118,2.0,Gas,yes,2008,Cerato,
2828,BMW,85555.0,sedan,10,3.0,Diesel,yes,2015,640,full
2829,Volkswagen,10200.0,sedan,280,1.8,Petrol,yes,2006,Passat B5,front
2830,Volkswagen,22000.0,crossover,98,2.0,Diesel,yes,2013,Tiguan,full
2831,Mitsubishi,9700.0,crossover,45,,Other,yes,2001,Pajero Sport,
2832,Renault,8500.0,van,157,1.5,Diesel,no,2013,Scenic,front
2833,Volkswagen,0.0,van,158,1.6,Diesel,yes,2012,Caddy ãðóç.,front
2834,Kia,13000.0,sedan,64,1.6,Gas,yes,2013,Rio,front
2835,Daewoo,3100.0,sedan,90,1.5,Petrol,yes,2005,Lanos,front
2836,Audi,16500.0,vagon,171,2.0,Diesel,yes,2008,A6,front
2837,Renault,999.0,sedan,430,2.0,Gas,yes,1988,25,front
2838,Hyundai,9200.0,sedan,100,,Gas,yes,2011,Accent,front
2839,Mitsubishi,21000.0,crossover,98,2.5,Diesel,yes,2011,Pajero Sport,full
2840,Audi,2450.0,vagon,325,2.5,Diesel,no,2000,A6,front
2841,Toyota,14900.0,sedan,110,3.5,Petrol,yes,2008,Camry,front
2842,Daewoo,3000.0,hatch,88,0.8,Petrol,yes,2010,Matiz,front
2843,Jaguar,27500.0,sedan,102,3.0,Petrol,yes,2012,XF,rear
2844,Audi,4700.0,sedan,400,2.6,Petrol,yes,1996,A6,front
2845,BMW,1950.0,sedan,162,1.6,Petrol,no,1995,316,rear
2846,Audi,21700.0,sedan,167,3.0,Petrol,yes,2009,A6,full
2847,Mercedes-Benz,36000.0,crossover,162,3.0,Diesel,yes,2009,GL 320,full
2848,Volkswagen,16700.0,sedan,175,2.0,Petrol,yes,2011,Passat CC,front
2849,Volkswagen,1500.0,sedan,255,1.9,Diesel,no,1998,Polo,front
2850,Hyundai,6300.0,sedan,163,1.5,Diesel,yes,2008,Accent,front
2851,Seat,19500.0,sedan,20,1.4,Petrol,yes,2015,Leon,front
2852,Ford,6400.0,hatch,140,1.6,Diesel,yes,2006,Fusion,front
2853,Volvo,20999.0,crossover,165,3.0,Petrol,yes,2008,XC60,full
2854,Audi,2650.0,vagon,333,2.5,Diesel,no,2000,A6,front
2855,Ford,6900.0,vagon,150,1.4,Gas,yes,2008,Fusion,front
2856,Skoda,12700.0,sedan,125,1.8,Petrol,yes,2011,Octavia A5,front
2857,Volkswagen,18500.0,sedan,74,1.8,Petrol,yes,2011,Passat CC,front
2858,VAZ,3199.0,other,127,1.7,Petrol,yes,2008,2121,full
2859,Daewoo,4350.0,sedan,37,1.5,Gas,yes,2009,Lanos,front
2860,Volkswagen,16000.0,hatch,26,1.2,Petrol,yes,2014,Polo,front
2861,Mitsubishi,8200.0,sedan,139,1.5,Other,yes,2012,Lancer X,front
2862,Skoda,6600.0,hatch,86,1.4,Petrol,yes,2008,Fabia,front
2863,Kia,4350.0,crossover,199,2.0,Gas,yes,1997,Sportage,full
2864,Hyundai,8000.0,sedan,193,2.0,Gas,yes,2007,Sonata,front
2865,Volkswagen,8499.0,sedan,101,1.6,Petrol,yes,2012,Polo,
2866,Toyota,32950.0,other,50,5.7,Petrol,yes,2013,Tundra,full
2867,Daewoo,4650.0,sedan,63,1.5,Petrol,yes,2007,Lanos,front
2868,Hyundai,6999.0,sedan,91,1.4,Petrol,yes,2008,Accent,
2869,Daewoo,4700.0,sedan,68,1.5,Gas,yes,2007,Lanos,front
2870,Mercedes-Benz,9999.0,crossover,300,3.2,Petrol,yes,1998,ML 320,full
2871,Audi,2200.0,vagon,280,2.5,Diesel,no,2002,A6 Allroad,full
2872,Daewoo,2950.0,sedan,212,1.5,Petrol,yes,2006,Lanos,front
2873,Opel,6400.0,hatch,163,1.6,Petrol,yes,2005,Astra H,front
2874,Mitsubishi,12500.0,other,48,1.6,Petrol,yes,2012,Lancer X,
2875,Daewoo,4200.0,sedan,117,1.5,Petrol,yes,2007,Lanos,front
2876,Toyota,2350.0,hatch,211,1.3,Petrol,yes,1987,Corolla,front
2877,Suzuki,10200.0,vagon,127,2.0,Petrol,yes,2007,Grand Vitara,full
2878,Chevrolet,12300.0,hatch,670,1.8,Gas,yes,2013,Cruze,front
2879,Toyota,89000.0,crossover,61,4.5,Diesel,yes,2011,Land Cruiser 200,full
2880,Opel,5000.0,van,190,1.3,Diesel,yes,2005,Combo ïàññ.,front
2881,Skoda,8500.0,hatch,147,1.6,Petrol,yes,2005,Octavia A5,front
2882,Volkswagen,8899.0,vagon,198,1.9,Other,yes,2004,Passat B5,front
2883,Citroen,6200.0,van,150,1.3,Diesel,yes,2012,Nemo ãðóç.,front
2884,Skoda,7500.0,hatch,90,1.4,Petrol,yes,2011,Fabia,front
2885,Nissan,7650.0,van,107,1.6,Gas,yes,2007,Note,front
2886,VAZ,3300.0,hatch,120,1.6,Gas,yes,2007,2112,front
2887,Opel,10499.0,other,160,2.0,Other,yes,2012,Vivaro ãðóç.,front
2888,Toyota,8500.0,sedan,168,1.6,Petrol,yes,2008,Corolla,front
2889,Fiat,7700.0,van,96,1.3,Diesel,yes,2011,Doblo ãðóç.,front
2890,BMW,32000.0,crossover,52,3.0,Petrol,yes,2012,X5,full
2891,Kia,6900.0,sedan,92,1.6,Petrol,yes,2007,Cerato,front
2892,Renault,6100.0,vagon,130,,Diesel,yes,2009,Kangoo ïàññ.,front
2893,Renault,10499.0,other,160,,Diesel,yes,2013,Trafic ãðóç.,front
2894,VAZ,950.0,sedan,97,1.5,Petrol,yes,1993,2107,rear
2895,Opel,8300.0,van,145,1.9,Diesel,yes,2006,Vivaro ïàññ.,front
2896,BMW,12799.0,sedan,181,2.2,Gas,yes,2004,520,rear
2897,Daewoo,4200.0,sedan,84,1.5,Petrol,yes,2004,Lanos,front
2898,Volkswagen,9750.0,van,253,1.9,Diesel,yes,2010,Caddy ïàññ.,front
2899,Chevrolet,5300.0,sedan,145,2.5,Petrol,yes,2006,Evanda,front
2900,Toyota,45000.0,crossover,80,4.0,Petrol,yes,2013,Land Cruiser Prado,full
2901,BMW,44999.0,crossover,87,3.0,Diesel,yes,2011,X6,full
2902,Hyundai,6400.0,sedan,85,1.4,Petrol,yes,2009,Accent,front
2903,Daewoo,4700.0,sedan,110,1.5,Gas,yes,2007,Lanos,front
2904,Hyundai,12700.0,sedan,34,1.6,Petrol,yes,2013,Accent,front
2905,Skoda,23500.0,sedan,70,2.0,Diesel,yes,2013,Octavia A7,front
2906,Opel,8500.0,van,230,1.9,Diesel,yes,2004,Vivaro ïàññ.,
2907,BMW,15500.0,sedan,89,2.0,Diesel,no,2012,520,rear
2908,Nissan,8500.0,van,104,1.4,Petrol,yes,2010,Note,front
2909,Skoda,5500.0,hatch,85,1.2,Petrol,yes,2007,Fabia,front
2910,Renault,7200.0,van,285,1.9,Diesel,yes,2002,Trafic ïàññ.,front
2911,BMW,3500.0,vagon,280,3.0,Diesel,no,2001,330,full
2912,Daewoo,2200.0,sedan,200,1.5,Petrol,yes,2003,Lanos,front
2913,Skoda,5200.0,sedan,160,1.2,Petrol,yes,2006,Fabia,front
2914,Renault,6700.0,van,216,1.5,Diesel,yes,2010,Kangoo ïàññ.,front
2915,Renault,10900.0,vagon,175,1.5,Diesel,yes,2012,Megane,front
2916,Skoda,19800.0,hatch,160,2.0,Diesel,yes,2013,Octavia A7,front
2917,Mitsubishi,7500.0,sedan,140,1.5,Petrol,yes,2007,Lancer X,front
2918,Daewoo,1350.0,sedan,225,,Gas,no,1998,Lanos,front
2919,Ford,10400.0,sedan,198,1.6,Gas,yes,2008,Focus,front
2920,Nissan,21500.0,crossover,72,2.0,Diesel,yes,2013,X-Trail,full
2921,Skoda,7450.0,vagon,118,1.4,Petrol,yes,2008,Fabia,front
2922,Audi,24500.0,sedan,122,4.0,Diesel,yes,2008,A8,full
2923,Kia,11500.0,hatch,93,,Petrol,yes,2011,Soul,front
2924,Volkswagen,11990.0,sedan,245,2.0,Diesel,yes,2007,Passat B6,
2925,BMW,38000.0,sedan,74,2.0,Diesel,yes,2014,520,rear
2926,Peugeot,14000.0,vagon,45,1.6,Diesel,yes,2013,Partner ïàññ.,front
2927,Volkswagen,11962.0,sedan,0,1.6,Petrol,yes,2015,Polo,front
2928,Daewoo,3500.0,hatch,76,0.8,Petrol,yes,2007,Matiz,front
2929,Volkswagen,30385.0,vagon,0,2.0,Diesel,yes,2014,Touran,front
2930,Volkswagen,39615.0,sedan,0,2.0,Diesel,yes,2016,Passat B8,front
2931,Volkswagen,39040.0,sedan,0,2.0,Diesel,yes,2014,Passat CC,front
2932,Opel,2550.0,sedan,195,2.2,Petrol,no,2000,Omega,rear
2933,Mercedes-Benz,8999.0,van,360,2.2,Diesel,yes,2006,Vito ïàññ.,rear
2934,Opel,7350.0,hatch,188,1.3,Diesel,yes,2005,Astra H,front
2935,Ford,7999.0,sedan,146,1.6,Petrol,yes,2010,Focus,front
2936,Fiat,1950.0,hatch,215,1.4,Petrol,yes,1991,Tipo,
2937,Volkswagen,2500.0,hatch,111,1.6,Gas,yes,1999,Golf IV,
2938,Volkswagen,17900.0,other,123,1.8,Petrol,yes,2010,Passat CC,front
2939,Chevrolet,4200.0,sedan,160,1.5,Petrol,yes,2005,Aveo,front
2940,Opel,7700.0,van,280,1.9,Diesel,yes,2003,Vivaro ïàññ.,front
2941,Mitsubishi,18600.0,crossover,52,2.0,Petrol,yes,2013,Outlander,
2942,BMW,34900.0,crossover,35,3.0,Petrol,yes,2011,X3,full
2943,Chevrolet,11000.0,sedan,60,1.8,Petrol,yes,2010,Cruze,
2944,Skoda,6600.0,vagon,1,1.4,Gas,yes,2007,Fabia,front
2945,Volkswagen,7200.0,other,177,1.9,Diesel,yes,2010,Caddy ãðóç.,front
2946,Ford,16400.0,hatch,6,1.0,Petrol,yes,2015,Focus,front
2947,Kia,9700.0,hatch,67,1.6,Petrol,yes,2011,Soul,front
2948,Toyota,20100.0,crossover,48,2.0,Petrol,yes,2012,Rav 4,full
2949,Opel,3100.0,sedan,286,2.0,Petrol,yes,1994,Omega,rear
2950,BMW,6500.0,sedan,1,3.5,Petrol,yes,1999,535,rear
2951,BMW,25800.0,crossover,205,3.0,Diesel,yes,2008,X5,full
2952,Ford,6500.0,van,148,1.8,Diesel,yes,2011,Transit Connect ãðóç.,front
2953,Audi,15000.0,sedan,38,,Diesel,no,2015,A5,full
2954,Opel,20800.0,sedan,151,2.0,Diesel,yes,2013,Insignia,front
2955,Nissan,14999.0,sedan,66,2.5,Petrol,yes,2010,Teana,front
2956,BMW,57000.0,crossover,47,3.0,Diesel,yes,2014,X6,full
2957,Hyundai,9700.0,hatch,90,1.6,Diesel,yes,2010,i30,front
2958,Volkswagen,10799.0,van,128,1.9,Diesel,yes,2010,Caddy ïàññ.,front
2959,Kia,7300.0,sedan,73,1.6,Petrol,yes,2008,Cerato,front
2960,Mercedes-Benz,47600.0,van,0,2.2,Diesel,yes,2016,Vito ïàññ.,rear
2961,Mercedes-Benz,47600.0,van,0,2.2,Diesel,yes,2016,Vito ïàññ.,rear
2962,Nissan,8790.0,van,69,1.4,Petrol,yes,2010,Note,front
2963,Skoda,16500.0,sedan,94,1.9,Diesel,yes,2012,Octavia A5,front
2964,Volkswagen,9850.0,sedan,110,2.0,Petrol,yes,2006,Passat B6,front
2965,Peugeot,5800.0,van,180,1.9,Diesel,yes,2007,Partner ïàññ.,
2966,Volkswagen,9000.0,sedan,135,1.6,Gas,yes,2011,Polo,front
2967,Ford,11500.0,hatch,71,1.0,Petrol,yes,2013,Fiesta,front
2968,Nissan,14931.15,sedan,1,1.6,Petrol,yes,2015,Sentra,front
2969,BMW,39999.0,sedan,45,3.0,Petrol,yes,2011,535,full
2970,Seat,17600.0,hatch,28,1.4,Petrol,yes,2014,Leon,front
2971,Mercedes-Benz,97555.0,van,0,2.5,Diesel,yes,2016,V 250,full
2972,Mitsubishi,9200.0,other,0,,Other,yes,2007,Lancer X,
2973,Hyundai,11999.0,crossover,56,,Petrol,yes,2009,Tucson,full
2974,Renault,9900.0,crossover,201,1.9,Diesel,yes,2006,Kangoo ïàññ.,full
2975,Opel,3999.0,sedan,250,2.5,Petrol,yes,1997,Omega,rear
2976,Nissan,38800.0,crossover,112,5.6,Petrol,yes,2012,Patrol,full
2977,Suzuki,10400.0,crossover,144,2.0,Petrol,yes,2006,Grand Vitara,full
2978,Renault,2999.0,van,245,1.5,Diesel,yes,2003,Kangoo ãðóç.,front
2979,Peugeot,6300.0,hatch,176,1.6,Gas,yes,2005,307,full
2980,Mitsubishi,11500.0,crossover,191,3.0,Gas,yes,2006,Pajero Sport,full
2981,BMW,77500.0,crossover,1,3.0,Petrol,yes,2016,X6,full
2982,Peugeot,6300.0,other,112,1.6,Diesel,yes,2007,Partner ïàññ.,front
2983,Geely,7800.0,sedan,32,,Gas,yes,2014,Emgrand 7 (EC7),front
2984,Opel,1499.0,sedan,260,2.5,Petrol,no,1997,Omega,front
2985,Opel,9700.0,hatch,52,1.4,Petrol,yes,2012,Astra J,front
2986,Renault,11000.0,hatch,127,1.5,Diesel,yes,2012,Megane,front
2987,Audi,32300.0,hatch,54,2.8,Petrol,yes,2011,A6,front
2988,Opel,7400.0,vagon,230,1.3,Diesel,yes,2006,Astra H,front
2989,Hyundai,29400.0,sedan,0,2.0,Petrol,yes,2016,Sonata,front
2990,Mitsubishi,11450.0,sedan,60,1.6,Gas,yes,2012,Lancer X,front
2991,Volkswagen,12500.0,vagon,195,1.6,Diesel,yes,2013,Golf VI,front
2992,BMW,25500.0,crossover,130,3.0,Gas,yes,2007,X5,full
2993,Skoda,11100.0,sedan,110,1.6,Petrol,yes,2010,Octavia A5,front
2994,Hyundai,18300.0,hatch,0,1.6,Petrol,yes,2016,i30,front
2995,Hyundai,8999.0,hatch,56,1.6,Petrol,yes,2010,i30,front
2996,Ford,6450.0,vagon,180,1.6,Diesel,no,2012,Mondeo,front
2997,Daewoo,3200.0,hatch,75,1.0,Petrol,yes,2007,Matiz,front
2998,BMW,34500.0,crossover,85,3.0,Petrol,yes,2010,X5,full
2999,Chevrolet,4600.0,sedan,138,1.5,Petrol,yes,2006,Aveo,front
3000,Opel,4800.0,van,220,1.6,Gas,yes,2006,Combo ãðóç.,front
3001,Audi,18500.0,sedan,245,3.0,Diesel,yes,2006,A8,full
3002,Hyundai,5900.0,hatch,86,1.4,Petrol,yes,2007,Getz,
3003,BMW,31111.0,sedan,117,4.4,Petrol,yes,2010,750,full
3004,Audi,22800.0,sedan,122,2.0,Petrol,yes,2011,A6,front
3005,Opel,10000.0,van,200,2.0,Diesel,yes,2007,Vivaro ïàññ.,front
3006,Mercedes-Benz,50000.0,sedan,240,3.5,Petrol,yes,2006,S 350,rear
3007,BMW,13000.0,sedan,165,2.2,Gas,yes,2003,520,rear
3008,Mitsubishi,9450.0,sedan,125,2.0,Gas,yes,2008,Lancer X,front
3009,Mercedes-Benz,7200.0,van,200,2.2,Diesel,yes,2004,Vito ïàññ.,rear
3010,Skoda,15100.0,sedan,56,1.8,Petrol,yes,2011,Octavia A5,front
3011,Daewoo,5700.0,hatch,26,0.8,Petrol,yes,2012,Matiz,front
3012,Volkswagen,7200.0,hatch,127,1.39,Petrol,yes,2007,Polo,front
3013,Seat,7000.0,hatch,105,2.0,Diesel,yes,2006,Leon,front
3014,Opel,11440.0,sedan,81,1.6,Petrol,yes,2013,Astra H,front
3015,Opel,2500.0,van,251,1.4,Gas,yes,1996,Combo ãðóç.,front
3016,Skoda,12700.0,vagon,105,1.8,Petrol,yes,2012,Octavia A5,front
3017,Hyundai,13000.0,other,72,2.0,Petrol,yes,2008,Coupe,front
3018,BMW,7500.0,sedan,425,,Gas,yes,1996,535,rear
3019,Volkswagen,20700.0,vagon,74,2.0,Diesel,yes,2013,Passat B7,
3020,Opel,8000.0,vagon,191,1.3,Diesel,yes,2006,Astra H,front
3021,Volkswagen,1500.0,other,160,1.4,Petrol,no,1999,Golf IV,front
3022,BMW,37900.0,crossover,97,3.0,Diesel,yes,2010,X6,full
